"","birthyear","Freq"
"1","1915",1
"2","1930",1
"3","1931",7
"4","1941",1
"5","1944",142
"6","1945",37
"7","1946",38
"8","1947",56
"9","1948",128
"10","1949",651
"11","1950",184
"12","1951",247
"13","1952",730
"14","1953",434
"15","1954",597
"16","1955",988
"17","1956",1194
"18","1957",1347
"19","1958",1552
"20","1959",1717
"21","1960",1765
"22","1961",1190
"23","1962",2051
"24","1963",1893
"25","1964",2648
"26","1965",2382
"27","1966",2108
"28","1967",1906
"29","1968",3128
"30","1969",2101
"31","1970",2113
"32","1971",1958
"33","1972",2197
"34","1973",2238
"35","1974",2688
"36","1975",2560
"37","1976",2310
"38","1977",3641
"39","1978",3731
"40","1979",3615
"41","1980",4396
"42","1981",5421
"43","1982",7189
"44","1983",6792
"45","1984",9237
"46","1985",10446
"47","1986",11550
"48","1987",11231
"49","1988",12921
"50","1989",14674
"51","1990",14664
"52","1991",14492
"53","1992",14068
"54","1993",10038
"55","1994",5732
"56","1995",2340
"57","1996",1207
"58","1997",1419
"59","1998",708
"60","1999",138
"61","2000",90
"62","2001",25
"63","2003",13
"64","2004",8
